ID,Category,Prompt,Intent,Solution,Severity,Response Type,Keywords
345,Support Seeking,I'm having trouble focusing on my studies.,academic_focus,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, having, trouble, focusing"
346,Informational,Where is the mental health clinic located?,query_location,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"where, is, the, mental"
347,Emotional Venting,I wish I could just disappear forever.,vent_escapism,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, wish, i, could"
348,Support Seeking,my heart beats really fast when I enter class.,physical_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"my, heart, beats, really"
349,Crisis,Goodbye I can't do this anymore.,crisis_goodbye,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"goodbye, i, can't, do"
350,Support Seeking,I don't have anyone to eat lunch with.,social_isolation,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, don't, have, anyone"
351,Informational,Can stress cause physical pain?,query_symptoms,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"can, stress, cause, physical"
352,Emotional Venting,I worked so hard and still failed!,vent_failure,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, worked, so, hard"
353,Support Seeking,I feel paralyzed by all the work I have to do.,stress_paralysis,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, paralyzed, by"
354,Informational,How long does a counseling session last?,query_logistics,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"how, long, does, a"
355,Crisis,I'm driving really fast and I don't care what happens.,crisis_reckless,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, driving, really, fast"
356,Support Seeking,I keep crying for no reason today.,emotional_instability,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, keep, crying, for"
357,Emotional Venting,My parents never listen to a word I say.,vent_family,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"my, parents, never, listen"
358,Support Seeking,I feel nervous meeting new people.,social_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, nervous, meeting"
359,Informational,What is Cognitive Behavioral Therapy?,query_treatment,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, is, cognitive, behavioral"
360,Crisis,Someone save me from my own thoughts.,crisis_plea,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"someone, save, me, from"
361,Support Seeking,I'm struggling to get out of bed in the morning.,depression_lethargy,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, struggling, to, get"
362,Emotional Venting,I hate looking at myself in the mirror.,vent_self_image,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, hate, looking, at"
363,Informational,Do you have a hotline number for emergencies?,query_hotline,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"do, you, have, a"
364,Support Seeking,I'm afraid I'm going to disappoint everyone.,fear_failure,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, afraid, i'm, going"
365,Crisis,I'm writing a note to my family right now.,crisis_planning,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, writing, a, note"
366,Emotional Venting,Why is everyone else happy except me?,vent_jealousy,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"why, is, everyone, else"
367,Support Seeking,I'm overwhelmed by the amount of reading I have to do.,stress_workload,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, overwhelmed, by, the"
368,Informational,Can lack of sleep make me hallucinate?,query_symptoms,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"can, lack, of, sleep"
369,Support Seeking,I don't feel real like I'm in a dream.,dissociation,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, don't, feel, real"
370,Emotional Venting,Stop telling me to calm down!,vent_irritability,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"stop, telling, me, to"
371,Support Seeking,I have no motivation to do anything.,depression_apathy,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, have, no, motivation"
372,Informational,Is meditation good for anxiety?,query_coping,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"is, meditation, good, for"
373,Crisis,If I don't get help now I will die.,crisis_urgent,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"if, i, don't, get"
374,Emotional Venting,My roommate is making my life a living hell.,vent_living_situation,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"my, roommate, is, making"
375,Support Seeking,I'm scared I chose the wrong major.,career_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, scared, i, chose"
376,Informational,What do I do if a friend is suicidal?,query_intervention,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, do, i, do"
377,Support Seeking,I feel unsafe walking home alone at night.,fear_safety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, unsafe, walking"
378,Emotional Venting,I am so sick of pretending to be okay.,vent_masking,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, am, so, sick"
379,Crisis,I am cutting myself again.,crisis_selfharm_relapse,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, am, cutting, myself"
380,Support Seeking,Can you recommend a way to sleep better?,insomnia_help,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"can, you, recommend, a"
381,Informational,Do you offer online therapy sessions?,query_service_type,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"do, you, offer, online"
382,Support Seeking,I feel guilty for eating too much.,eating_disorder,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, guilty, for"
383,Emotional Venting,Nobody cares about my problems.,vent_neglect,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"nobody, cares, about, my"
384,Crisis,I have a weapon and I'm scared.,crisis_weapon,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, have, a, weapon"
385,Support Seeking,I panic when the professor calls my name.,social_anxiety_class,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, panic, when, the"
386,Informational,What are the symptoms of bipolar disorder?,query_symptoms,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, are, the, symptoms"
387,Emotional Venting,I hate this city I want to go home.,vent_homesickness,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, hate, this, city"
388,Support Seeking,My hands shake whenever I have to write.,physical_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"my, hands, shake, whenever"
389,Crisis,I'm going to take all these pills.,crisis_overdose_threat,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, going, to, take"
390,Support Seeking,I feel like a failure compared to my siblings.,comparison_envy,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, like, a"
391,Informational,How much does a private therapist cost?,query_cost_external,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"how, much, does, a"
392,Emotional Venting,Life is just one big disappointment.,vent_hopelessness,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"life, is, just, one"
393,Support Seeking,I'm worried my friends are talking behind my back.,paranoia_social,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, worried, my, friends"
394,Crisis,I can't stop hearing voices telling me to hurt myself.,crisis_psychosis,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, can't, stop, hearing"
395,Support Seeking,I feel nauseous every morning before school.,anxiety_somatic,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, nauseous, every"
396,Informational,Is it possible to cure depression completely?,query_prognosis,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"is, it, possible, to"
397,Emotional Venting,Why can't I just be normal like everyone else?,vent_self_hatred,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"why, can't, i, just"
398,Support Seeking,I need advice on how to break up with someone.,relationship_advice,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, need, advice, on"
399,Crisis,I am standing on the bridge right now.,crisis_location_specific,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, am, standing, on"
400,Support Seeking,I'm afraid of being alone in my room.,phobia_isolation,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, afraid, of, being"
401,Informational,What is the number for the suicide hotline?,query_crisis_resource,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, is, the, number"
402,Emotional Venting,This whole semester has been a disaster.,vent_academic,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"this, whole, semester, has"
403,Support Seeking,I feel like I'm losing my mind.,sanity_check,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, like, i'm"
404,Informational,Can caffeine make anxiety worse?,query_diet,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"can, caffeine, make, anxiety"
405,Crisis,Please tell my mom I love her.,crisis_note,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"please, tell, my, mom"
406,Support Seeking,I'm stressed about paying my tuition fees.,financial_stress,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, stressed, about, paying"
407,Emotional Venting,I am so angry at the world right now.,vent_general_anger,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, am, so, angry"
408,Support Seeking,I feel like crying but the tears won't come out.,emotional_block,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, like, crying"
409,Informational,How do I request a leave of absence for mental health?,query_admin,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"how, do, i, request"
410,Crisis,There is no other way out for me.,crisis_determination,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"there, is, no, other"
411,Support Seeking,I'm worried I'll never find love.,relationship_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, worried, i'll, never"
412,Emotional Venting,I hate how much time I waste on my phone.,vent_addiction,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, hate, how, much"
413,Informational,What is the difference between a psychologist and psychiatrist?,query_education,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, is, the, difference"
414,Support Seeking,I feel numb and disconnected from reality.,dissociation,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, numb, and"
415,Crisis,I'm holding a knife.,crisis_selfharm_weapon,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, holding, a, knife."
416,Informational,Can dehydration cause anxiety symptoms?,query_physical_health,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"can, dehydration, cause, anxiety"
417,Support Seeking,I feel paralyzed when I have to make a decision.,decision_paralysis,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, paralyzed, when"
418,Emotional Venting,I'm so sick of people telling me to just be happy.,vent_toxic_positivity,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i'm, so, sick, of"
419,Crisis,I'm going to jump off the bridge tonight.,crisis_suicide_plan,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, going, to, jump"
420,Support Seeking,I'm worried I'm annoying my friends with my problems.,fear_being_burden,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, worried, i'm, annoying"
421,Informational,How do I know if I'm having a panic attack or heart attack?,query_symptoms_diff,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"how, do, i, know"
422,Emotional Venting,My professor embarrassed me in front of the whole class.,vent_humiliation,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"my, professor, embarrassed, me"
423,Support Seeking,I feel like I'm wasting my parents' money being here.,guilt_financial,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, like, i'm"
424,Crisis,I have a gun.,crisis_weapon,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, have, a, gun."
425,Informational,Are there counselors available on weekends?,query_availability,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"are, there, counselors, available"
426,Support Seeking,I can't stop crying over a small mistake I made.,emotional_fragility,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, can't, stop, crying"
427,Emotional Venting,I hate my roommate they never clean up!,vent_roommate,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, hate, my, roommate"
428,Support Seeking,I feel so ugly compared to everyone on Instagram.,body_image_issue,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, so, ugly"
429,Crisis,I'm writing my suicide note right now.,crisis_note,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, writing, my, suicide"
430,Informational,What is the difference between stress and burnout?,query_education,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, is, the, difference"
431,Support Seeking,I'm scared to go to class because I haven't done the work.,avoidance_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, scared, to, go"
432,Emotional Venting,Why does bad stuff only happen to me?,vent_victimhood,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"why, does, bad, stuff"
433,Crisis,I just took a handful of pills.,crisis_overdose_active,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, just, took, a"
434,Support Seeking,I feel like an imposter in my major.,imposter_syndrome,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, like, an"
435,Informational,Can I bring a friend to my counseling session?,query_policy,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"can, i, bring, a"
436,Emotional Venting,I'm so angry I could punch a wall.,vent_aggression,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i'm, so, angry, i"
437,Support Seeking,I miss my ex so much it hurts physically.,heartbreak,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, miss, my, ex"
438,Crisis,Please help the voices are getting louder.,crisis_psychosis,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"please, help, the, voices"
439,Informational,Is therapy confidential if I'm under 18?,query_legal,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"is, therapy, confidential, if"
440,Support Seeking,I feel tense and my jaw hurts from clenching it.,physical_stress,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, tense, and"
441,Emotional Venting,I'm tired of being the strong one for everyone else.,vent_emotional_labor,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i'm, tired, of, being"
442,Crisis,I'm standing on the train tracks.,crisis_location_danger,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, standing, on, the"
443,Support Seeking,I'm scared of failing this semester.,academic_fear,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, scared, of, failing"
444,Informational,How do I switch counselors if I don't like mine?,query_procedure,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"how, do, i, switch"
445,Emotional Venting,This weather is making me so depressed.,vent_seasonal,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"this, weather, is, making"
446,Support Seeking,I feel like everyone hates me secretly.,paranoia_social,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, like, everyone"
447,Crisis,I don't want to exist anymore.,crisis_passive_suicidal,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, don't, want, to"
448,Informational,What are the signs of an eating disorder?,query_symptoms,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, are, the, signs"
449,Support Seeking,I'm overwhelmed by the amount of reading I have to do.,stress_workload,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, overwhelmed, by, the"
450,Emotional Venting,I wish I could just sleep for a hundred years.,vent_escapism,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, wish, i, could"
451,Crisis,I'm bleeding and I can't stop.,crisis_medical,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, bleeding, and, i"
452,Support Seeking,I feel so awkward in social situations.,social_awkwardness,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, so, awkward"
453,Informational,Do you provide help for substance abuse?,query_addiction,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"do, you, provide, help"
454,Emotional Venting,Stop asking me if I'm okay!,vent_defensive,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"stop, asking, me, if"
455,Support Seeking,I'm afraid of graduating and leaving university.,change_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, afraid, of, graduating"
456,Crisis,I'm going to crash my car.,crisis_reckless,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, going, to, crash"
457,Informational,How long does it take for medication to work?,query_medication,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"how, long, does, it"
458,Support Seeking,I feel like a failure because I got a C.,perfectionism,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, like, a"
459,Emotional Venting,I hate how lonely this campus is.,vent_environment,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, hate, how, lonely"
460,Crisis,No one will miss me if I'm gone.,crisis_hopeless,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"no, one, will, miss"
461,Support Seeking,I can't focus on anything today.,focus_issue,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, can't, focus, on"
462,Informational,Is there a limit to how many sessions I can have?,query_policy,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"is, there, a, limit"
463,Emotional Venting,I'm done trying to please everyone.,vent_people_pleasing,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i'm, done, trying, to"
464,Support Seeking,I feel shaky and sweaty before exams.,test_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, shaky, and"
465,Crisis,This is my last message Goodbye.,crisis_finality,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"this, is, my, last"
466,Informational,What are the early signs of depression?,query_symptoms,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, are, the, early"
467,Support Seeking,I feel really overwhelmed with my semester exams.,stress_academic,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, really, overwhelmed"
468,Emotional Venting,I hate how my professor treats me in class!,vent_anger,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, hate, how, my"
469,Crisis,I don't see the point in waking up tomorrow.,crisis_suicidal,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, don't, see, the"
470,Support Seeking,My anxiety is getting worse before presentations.,anxiety_academic,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"my, anxiety, is, getting"
471,Informational,How can I book a session with the campus counselor?,query_service,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"how, can, i, book"
472,Emotional Venting,I'm so tired of trying and failing at everything.,vent_fatigue,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i'm, so, tired, of"
473,Support Seeking,I feel lonely and I haven't made any friends here.,loneliness,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, lonely, and"
474,Crisis,I want to hurt myself to make the pain stop.,crisis_selfharm,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, want, to, hurt"
475,Informational,What is the difference between panic attacks and anxiety?,query_education,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, is, the, difference"
476,Support Seeking,I just need someone to talk to right now please.,need_support,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, just, need, someone"
477,Emotional Venting,Why does everything have to be so difficult for me?,vent_frustration,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"why, does, everything, have"
478,Support Seeking,I can't sleep because I'm worrying about my grades.,insomnia_stress,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, can't, sleep, because"
479,Informational,Does the university insurance cover therapy?,query_cost,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"does, the, university, insurance"
480,Crisis,Please help I think I'm having a panic attack right now.,crisis_panic,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"please, help, i, think"
481,Support Seeking,I miss my family and I feel homesick.,homesickness,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, miss, my, family"
482,Emotional Venting,I just want to scream and break something.,vent_anger,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, just, want, to"
483,Informational,Are there any support groups for students?,query_resources,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"are, there, any, support"
484,Support Seeking,I feel like everyone is judging me constantly.,social_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, like, everyone"
485,Crisis,I have a plan to end my life tonight.,crisis_suicidal,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, have, a, plan"
486,Emotional Venting,It's not fair that I have to deal with this much pressure.,vent_injustice,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"it's, not, fair, that"
487,Support Seeking,I don't know how to tell my parents I'm failing.,family_stress,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, don't, know, how"
488,Informational,What are the side effects of antidepressants?,query_medication,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"what, are, the, side"
489,Support Seeking,I feel empty inside and nothing makes me happy.,depression_symptoms,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, empty, inside"
490,Emotional Venting,Everyone ignores me and I'm sick of it.,vent_rejection,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"everyone, ignores, me, and"
491,Crisis,I'm standing on the roof and I'm scared.,crisis_immediate,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i'm, standing, on, the"
492,Support Seeking,Can you give me tips to calm down quickly?,coping_skills,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"can, you, give, me"
493,Informational,How do I know if I have ADHD?,query_diagnosis,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"how, do, i, know"
494,Emotional Venting,I can't believe my girlfriend broke up with me.,vent_breakup,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"i, can't, believe, my"
495,Support Seeking,I'm scared about the future and finding a job.,future_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, scared, about, the"
496,Informational,Is everything I say here confidential?,query_privacy,This is an informational query. It is best to refer to reliable sources or consult professionals for accurate guidance.,low,info,"is, everything, i, say"
497,Support Seeking,I feel like a burden to everyone around me.,low_self_esteem,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, like, a"
498,Crisis,I have pills in my hand and I want to take them.,crisis_overdose,I'm really sorry you're feeling this way. You are not alone. Please reach out immediately to a trusted person or emergency services.,high,crisis_support,"i, have, pills, in"
499,Emotional Venting,This university system is completely broken!,vent_institutional,"That sounds really tough. Your feelings are valid, and it's okay to express them. I'm here to listen.",medium,emotional_support,"this, university, system, is"
500,Support Seeking,I'm having trouble focusing on my studies.,academic_focus,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, having, trouble, focusing"
501,Emotional Venting,I am really frustrated with everything 5,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really"
502,Support Seeking,I'm scared to go to class because I haven't done the work.,avoidance_anxiety,It sounds like you're going through something difficult. Try taking small manageable steps and consider reaching out to someone you trust.,medium,emotional_support,"i'm, scared, to, go"
